Timestamp,User_ID,Page_ID,Action,Duration(seconds),Status_Code,Bytes_Transferred
2024-03-22 12:22:07,5,product_page,click,172,200,4579
2024-03-16 00:19:29,5,home,view,117,404,3479
2024-03-21 07:07:40,13,profile,submit,166,200,4249
2024-03-20 20:26:15,2,search,submit,176,500,6483
2024-03-26 01:48:41,20,product_page,click,82,200,6542
2024-03-16 00:01:40,9,checkout,click,159,500,9708
2024-03-17 07:15:43,19,search,submit,42,500,5588
2024-03-25 20:21:48,8,product_page,click,18,500,3531
2024-03-21 16:48:00,6,profile,click,69,404,9984
2024-03-13 04:38:30,15,search,submit,153,404,4075
2024-03-25 04:32:57,13,home,click,142,200,1030
2024-03-20 03:31:48,5,search,submit,163,200,3114
2024-03-17 18:51:28,13,search,click,73,404,9043
2024-03-15 10:37:25,7,search,click,150,200,1751
2024-03-17 22:43:52,12,search,click,156,500,8607
2024-03-22 07:42:49,6,home,click,133,200,8726
2024-03-18 01:42:38,5,home,submit,11,200,9054
2024-03-14 14:48:10,2,checkout,click,173,200,1269
2024-03-13 05:01:08,17,product_page,click,85,404,4187
2024-03-14 03:12:32,18,profile,view,179,404,9564
2024-03-21 12:07:36,13,product_page,submit,46,200,7189
2024-03-17 23:47:41,15,product_page,click,50,500,5391
2024-03-25 09:29:22,2,product_page,click,5,200,3190
2024-03-16 14:04:24,17,checkout,submit,14,404,4095
2024-03-18 22:42:51,10,checkout,click,172,404,4589
2024-03-16 18:41:03,14,profile,view,85,404,5725
2024-03-17 06:07:17,7,profile,submit,45,500,7647
2024-03-15 19:07:18,15,profile,submit,56,404,3008
2024-03-26 06:24:04,11,checkout,click,114,200,7442
2024-03-18 22:52:03,8,search,submit,45,500,4783
2024-03-21 14:33:56,16,checkout,click,155,200,2836
2024-03-12 21:27:01,15,product_page,click,101,404,7398
2024-03-20 00:15:52,15,search,view,76,200,5258
2024-03-22 16:38:52,10,home,view,91,404,7804
2024-03-21 10:39:14,9,profile,click,75,404,1235
2024-03-26 05:11:49,10,checkout,click,1,404,3694
2024-03-23 15:02:15,2,home,view,16,500,6661
2024-03-18 21:05:34,19,home,submit,160,200,2063
2024-03-20 18:16:46,19,checkout,view,103,404,9469
2024-03-18 11:50:39,12,search,view,161,404,1111
2024-03-21 12:34:12,19,checkout,submit,87,404,4360
2024-03-23 08:57:44,11,home,view,174,404,4689
2024-03-14 13:42:25,3,profile,submit,124,200,3259
2024-03-17 03:57:01,20,product_page,click,160,404,9695
2024-03-15 04:02:00,1,product_page,click,156,200,4211
2024-03-12 17:50:03,11,profile,click,117,500,4806
2024-03-17 17:09:06,15,product_page,view,61,404,7345
2024-03-15 09:23:19,12,product_page,click,103,500,6324
2024-03-16 23:26:16,16,profile,submit,173,500,2927
2024-03-18 03:47:42,2,profile,view,150,200,5638
2024-03-24 04:49:44,10,product_page,click,64,404,7633
2024-03-15 14:28:53,2,profile,click,15,200,3388
2024-03-15 13:02:54,6,home,submit,47,200,8888
2024-03-18 10:16:10,17,product_page,view,164,404,3671
2024-03-16 19:13:01,12,profile,click,152,404,2308
2024-03-17 22:35:48,5,profile,submit,55,500,3064
2024-03-25 11:57:50,2,product_page,view,164,200,7829
2024-03-21 14:42:05,4,home,click,81,200,1015
2024-03-21 18:57:57,9,checkout,click,129,500,3836
2024-03-20 03:21:12,20,product_page,view,136,500,5058
2024-03-15 15:11:05,19,home,click,26,200,9925
2024-03-16 22:26:04,6,home,submit,134,404,2525
2024-03-16 07:08:36,14,search,submit,132,404,3435
2024-03-21 15:55:59,10,search,click,57,500,9281
2024-03-24 02:26:37,2,search,click,129,500,4331
2024-03-17 01:14:57,10,product_page,click,79,500,4726
2024-03-18 03:39:43,11,search,view,102,500,5023
2024-03-20 01:43:18,19,home,submit,90,404,6620
2024-03-25 07:43:26,13,search,view,135,200,6895
2024-03-23 14:22:50,6,home,view,154,404,8492
2024-03-17 20:06:04,10,home,view,41,404,1840
2024-03-13 13:10:45,10,home,submit,122,200,4129
2024-03-21 17:11:50,8,profile,view,31,404,8858
2024-03-13 18:25:14,12,home,click,106,200,5437
2024-03-14 15:29:17,4,checkout,view,67,500,6929
2024-03-16 23:16:46,14,home,view,135,404,6398
2024-03-16 06:30:30,2,search,view,120,500,3440
2024-03-20 00:33:06,3,search,click,49,500,7704
2024-03-15 14:31:09,11,product_page,submit,145,404,4353
2024-03-14 10:39:37,16,profile,submit,18,404,6324
2024-03-19 09:43:38,11,product_page,click,126,404,8961
2024-03-26 06:15:36,6,product_page,view,59,200,9897
2024-03-22 18:28:14,20,home,click,99,500,7891
2024-03-13 03:40:10,2,profile,submit,111,200,9758
2024-03-22 21:30:21,8,search,click,111,404,3007
2024-03-21 18:53:13,4,checkout,view,9,200,5370
2024-03-22 23:52:28,9,profile,submit,94,500,8901
2024-03-17 15:55:40,3,checkout,click,131,404,8407
2024-03-19 18:15:49,6,search,click,61,500,4300
2024-03-16 01:05:54,18,checkout,submit,8,404,4434
2024-03-13 07:38:50,16,search,click,60,500,6442
2024-03-13 18:39:59,9,product_page,submit,173,500,6130
2024-03-24 02:16:54,15,home,submit,173,404,1470
2024-03-20 00:44:43,14,checkout,submit,30,500,2051
2024-03-15 02:16:59,19,search,view,117,404,6790
2024-03-20 03:29:30,5,profile,click,136,404,5290
2024-03-15 19:28:00,8,checkout,submit,116,404,1975
2024-03-17 14:29:46,1,profile,submit,149,200,1336
2024-03-13 23:47:28,3,profile,submit,27,200,9261
2024-03-26 08:56:25,15,profile,view,105,200,7061
2024-03-15 00:33:00,12,search,view,138,500,1815
2024-03-23 07:18:38,10,checkout,view,81,500,9023
2024-03-22 01:13:18,8,search,click,108,404,7877
2024-03-22 01:35:26,1,product_page,submit,41,500,4784
2024-03-20 13:33:40,1,checkout,click,9,500,3552
2024-03-15 13:33:26,16,search,view,13,500,1381
2024-03-13 09:48:40,16,home,click,112,500,1744
2024-03-19 01:54:50,16,product_page,submit,61,200,1463
2024-03-19 16:20:42,6,checkout,submit,28,200,6540
2024-03-13 10:35:15,4,product_page,click,2,500,2536
2024-03-19 18:25:11,20,search,view,103,500,4831
2024-03-18 03:19:40,9,product_page,click,48,500,9531
2024-03-18 18:48:27,5,home,submit,177,200,6863
2024-03-26 10:48:44,19,profile,submit,38,200,4239
2024-03-21 02:34:04,1,home,click,61,404,4772
2024-03-21 13:12:02,19,home,view,109,500,2060
2024-03-26 08:03:27,3,profile,submit,130,500,5993
2024-03-24 17:21:48,16,checkout,submit,96,404,6004
2024-03-15 01:02:11,2,checkout,submit,5,404,2279
2024-03-17 21:34:15,17,search,submit,7,404,2129
2024-03-23 15:17:42,18,checkout,submit,146,404,7673
2024-03-17 22:07:27,3,search,view,16,200,3023
2024-03-26 09:37:18,9,profile,submit,147,500,7679
2024-03-18 23:50:51,13,search,submit,7,500,4034
2024-03-21 10:14:36,5,profile,click,129,404,3186
2024-03-18 11:26:43,11,home,submit,70,200,1146
2024-03-16 06:59:08,20,profile,view,118,500,6307
